ID,GamePSID,name,Publisher,ReleaseYear,ReleaseDate,Developer,Genre,Features,Size,Medium,Hardware,CompletionTime(Hours),is_Digital_game,is_Physical_game,OfficialWebsite
4746,13166,Strategic Mind: The Pacific,Klabater,2021.0,2021-08-05,Starni Games,"Strategy, Turn Based",,NA,Digital only,,nan,0,0,https://klabater.com/en/games/strategic-mind-the-pacific/
4747,13165,Strategic Mind: The Pacific (EU),Klabater,2021.0,2021-08-05,Starni Games,"Strategy, Turn Based",,NA,Digital only,,nan,0,0,https://klabater.com/en/games/strategic-mind-the-pacific/
4748,10247,Strawberry Vinegar,Ratalaika Games,2020.0,2020-06-02,ebi-hime,Visual Novel,,496.0,Digital only,,0-1,0,0,https://www.ratalaikagames.com/games/strawberryvinegar.php
4749,10389,Strawberry Vinegar (Asia),eastasiasoft,2020.0,2020-06-30,"ebi-hime, Ratalaika Games",Visual Novel,,497.0,Digital only,,0-1,0,0,https://www.eastasiasoft.com/games/Strawberry-Vinegar
4750,10246,Strawberry Vinegar (EU),Ratalaika Games,2020.0,2020-06-03,ebi-hime,Visual Novel,,414.0,Digital only,,0-1,0,0,https://www.ratalaikagames.com/games/strawberryvinegar.php
4751,-5176,Stray (PS4),,,,,,,NA,,,nan,0,0,https://stray.game/
4752,7024,Street Fighter 30th Anniversary Collection,Capcom Entertainment,2018.0,2018-05-29,Digital Eclipse,"Fighting, Collection",,5396.48,Physical and Digital,,nan,0,0,https://streetfighter.com/street-fighter-30th-anniversary-collection/
4753,3980,Street Fighter V,Capcom Entertainment,2016.0,2016-02-16,Capcom Entertainment,Fighting,"Cross-Play, PS Plus, PS Now",6144.0,Physical and Digital,,200+,0,0,http://streetfighter.com/
4754,6732,Street Fighter V (CN),Capcom Entertainment,2018.0,2018-03-30,Capcom Entertainment,Fighting,,6246.4,Digital only,,nan,0,0,https://streetfighter.com/
4755,9025,Street Outlaws,GameMill Entertainment,2019.0,2019-10-22,Team6 Game Studios,"Automobile, Arcade Racing",,6932.48,Physical and Digital,,nan,0,0,https://streetoutlawsgame.com/
